dia;S;I;R;T
0;0,5;0,3;0,2;1
1;0,51671153;0,287087198;0,196201272;1
2;0,532801602;0,274789447;0,192408952;1
3;0,548299641;0,263072066;0,188628293;1
4;0,563233151;0,251902806;0,184864043;1
5;0,577627874;0,241251641;0,181120485;1
6;0,591507938;0,231090578;0,177401484;1
7;0,604895994;0,221393482;0,173710524;1
8;0,617813331;0,21213593;0,170050739;1
9;0,630279986;0,203295066;0,166424948;1
10;0,642314841;0,194849481;0,162835678;1
11;0,653935712;0,186779098;0,159285191;1
12;0,665159429;0,179065067;0,155775504;1
13;0,67600191;0,171689678;0,152308412;1
14;0,686478224;0,164636273;0,148885503;1
15;0,696602655;0,157889167;0,145508178;1
16;0,706388755;0,151433584;0,142177661;1
17;0,715849396;0,145255586;0,138895018;1
18;0,724996814;0,139342021;0,135661165;1
19;0,733842652;0,133680463;0,132476885;1
20;0,742398001;0,128259167;0,129342832;1
21;0,750673432;0,123067025;0,126259543;1
22;0,758679031;0,118093518;0,123227451;1
23;0,766424429;0,113328685;0,120246886;1
24;0,773918828;0,108763083;0,117318089;1
25;0,781171028;0,104387757;0,114441215;1
26;0,788189452;0,100194209;0,111616339;1
27;0,794982164;0,09617437;0,108843466;1
28;0,801556895;0,092320572;0,106122534;1
29;0,807921055;0,088625529;0,103453416;1
30;0,814081756;0,085082313;0,100835932;1
31;0,820045825;0,081684329;0,098269847;1
32;0,82581982;0,078425302;0,095754878;1
33;0,831410047;0,075299255;0,093290698;1
34;0,836822565;0,072300496;0,090876939;1
35;0,842063208;0,069423598;0,088513194;1
36;0,847137588;0,066663387;0,086199025;1
37;0,852051113;0,064014929;0,083933958;1
38;0,85680899;0,061473517;0,081717494;1
39;0,861416239;0,059034656;0,079549106;1
40;0,8658777;0,056694056;0,077428244;1
41;0,870198042;0,054447621;0,075354338;1
42;0,874381768;0,052291436;0,073326796;1
43;0,878433228;0,050221761;0,071345011;1
44;0,882356619;0,048235022;0,069408359;1
45;0,886155994;0,0463278;0,067516206;1
46;0,889835272;0,044496826;0,065667902;1
47;0,893398237;0,042738975;0,063862788;1
48;0,896848547;0,041051255;0,062100198;1
49;0,900189741;0,039430803;0,060379456;1
50;0,903425239;0,037874879;0,058699882;1
51;0,906558349;0,036380861;0,057060791;1
52;0,909592273;0,034946236;0,055461491;1
53;0,912530108;0,033568601;0,053901292;1
54;0,915374851;0,03224565;0,052379498;1
55;0,918129405;0,030975178;0,050895417;1
56;0,920796579;0,029755069;0,049448352;1
57;0,923379093;0,028583297;0,04803761;1
58;0,92587958;0,02745792;0,046662499;1
59;0,928300593;0,026377077;0,04532233;1
60;0,930644601;0,025338983;0,044016416;1
61;0,932913999;0,024341926;0,042744075;1
62;0,935111106;0,023384268;0,041504627;1
63;0,937238169;0,022464433;0,040297398;1
64;0,939297365;0,021580913;0,039121722;1
65;0,941290804;0,020732262;0,037976934;1
66;0,943220532;0,01991709;0,036862378;1
67;0,94508853;0,019134066;0,035777404;1
68;0,946896719;0,018381912;0,034721369;1
69;0,94864696;0,017659402;0,033693637;1
70;0,95034106;0,016965359;0,03269358;1
71;0,951980768;0,016298655;0,031720577;1
72;0,953567779;0,015658206;0,030774015;1
73;0,955103738;0,015042972;0,02985329;1
74;0,956590239;0,014451954;0,028957807;1
75;0,958028828;0,013884195;0,028086977;1
76;0,959421003;0,013338776;0,027240222;1
77;0,960768215;0,012814813;0,026416972;1
78;0,962071875;0,012311458;0,025616667;1
79;0,963333347;0,011827898;0,024838754;1
80;0,964553955;0,011363352;0,024082692;1
81;0,965734983;0,01091707;0,023347947;1
82;0,966877674;0,01048833;0,022633995;1
83;0,967983236;0,010076442;0,021940321;1
84;0,969052838;0,009680742;0,02126642;1
85;0,970087614;0,009300591;0,020611795;1
86;0,971088663;0,008935377;0,01997596;1
87;0,972057051;0,008584512;0,019358437;1
88;0,972993812;0,008247431;0,018758757;1
89;0,973899946;0,007923592;0,018176462;1
90;0,974776425;0,007612473;0,017611102;1
91;0,975624191;0,007313573;0,017062236;1
92;0,976444154;0,007026414;0,016529432;1
93;0,977237201;0,006750531;0,016012267;1
94;0,978004188;0,006485484;0,015510329;1
95;0,978745945;0,006230844;0,015023211;1
96;0,979463279;0,005986203;0,014550517;1
97;0,98015697;0,005751169;0,014091861;1
98;0,980827774;0,005525363;0,013646863;1
99;0,981476424;0,005308423;0,013215153;1
100;0,982103631;0,0051;0,012796368;1
101;0,982710084;0,004899761;0,012390155;1
102;0,983296448;0,004707383;0,011996168;1
103;0,983863372;0,004522558;0,01161407;1
104;0,98441148;0,00434499;0,01124353;1
105;0,984941381;0,004174392;0,010884227;1
106;0,985453661;0,004010492;0,010535847;1
107;0,985948891;0,003853026;0,010198083;1
108;0,986427623;0,003701742;0,009870635;1
109;0,986890391;0,003556397;0,009553212;1
110;0,987337714;0,003416758;0,009245528;1
111;0,987770092;0,003282601;0,008947308;1
112;0,988188012;0,00315371;0,008658278;1
113;0,988591944;0,003029879;0,008378177;1
114;0,988982345;0,00291091;0,008106745;1
115;0,989359655;0,002796611;0,007843734;1
116;0,989724303;0,002686799;0,007588898;1
117;0,990076703;0,002581298;0,007342;1
118;0,990417254;0,002479939;0,007102807;1
119;0,990746347;0,002382559;0,006871094;1
120;0,991064357;0,002289002;0,006646642;1
