dia;S;I;R;T
0;0,5;0,3;0,2;1
1;0,516680305;0,287118019;0,196201676;1
2;0,53274172;0,274847867;0,192410413;1
3;0,54821346;0,263155164;0,188631376;1
4;0,563122838;0,252007935;0,184869227;1
5;0,577495424;0,241376398;0,181128177;1
6;0,591355193;0,231232781;0,177412026;1
7;0,604724652;0,221551148;0,1737242;1
8;0,617624963;0,212307254;0,170067783;1
9;0,630076048;0,203478407;0,166445545;1
10;0,642096682;0,195043344;0,162859975;1
11;0,653704584;0,18698212;0,159313296;1
12;0,664916497;0,179276007;0,155807495;1
13;0,675748256;0,171907406;0,152344338;1
14;0,686214856;0,164859757;0,148925386;1
15;0,696330513;0,158117469;0,145552018;1
16;0,706108715;0,151665846;0,142225439;1
17;0,715562275;0,145491028;0,138946697;1
18;0,724703377;0,13957993;0,135716692;1
19;0,733543614;0,133920193;0,132536193;1
20;0,742094029;0,128500128;0,129405843;1
21;0,750365151;0,12330868;0,126326169;1
22;0,758367027;0,11833538;0,123297594;1
23;0,766109248;0,113570311;0,120320441;1
24;0,773600984;0,109004072;0,117394944;1
25;0,780851002;0,104627745;0,114521253;1
26;0,787867693;0,100432867;0,111699439;1
27;0,794659096;0,0964114;0,108929504;1
28;0,801232912;0,092555708;0,10621138;1
29;0,807596527;0,088858531;0,103544941;1
30;0,81375703;0,085312965;0,100930005;1
31;0,819721227;0,081912439;0,098366335;1
32;0,825495654;0,078650698;0,095853648;1
33;0,831086596;0,075521787;0,093391617;1
34;0,836500096;0,072520029;0,090979875;1
35;0,841741969;0,069640015;0,088618016;1
36;0,846817812;0,066876587;0,086305601;1
37;0,851733016;0,064224824;0,08404216;1
38;0,856492774;0,061680031;0,081827195;1
39;0,861102092;0,059237727;0,079660181;1
40;0,865565797;0,056893633;0,07754057;1
41;0,869888545;0,054643661;0,075467794;1
42;0,874074829;0,052483907;0,073441264;1
43;0,878128985;0,05041064;0,071460375;1
44;0,8820552;0,048420292;0,069524509;1
45;0,885857519;0,046509452;0,067633029;1
46;0,889539849;0,044674859;0,065785293;1
47;0,893105965;0,042913391;0,063980643;1
48;0,896559519;0,041222064;0,062218417;1
49;0,899904039;0,039598019;0,060497941;1
50;0,903142938;0,038038522;0,058818539;1
51;0,906279518;0,036540954;0,057179529;1
52;0,909316971;0,035102806;0,055580222;1
53;0,91225839;0,033721678;0,054019932;1
54;0,915106766;0,032395268;0,052497966;1
55;0,917864993;0,031121373;0,051013633;1
56;0,920535877;0,02989788;0,049566243;1
57;0,923122131;0,028722765;0,048155104;1
58;0,925626384;0,027594089;0,046779527;1
59;0,928051183;0,026509991;0,045438826;1
60;0,930398993;0,025468688;0,044132318;1
61;0,932672205;0,024468471;0,042859323;1
62;0,934873134;0,023507701;0,041619165;1
63;0,937004022;0,022584805;0,040411173;1
64;0,939067043;0,021698275;0,039234682;1
65;0,941064304;0,020846665;0,038089031;1
66;0,942997847;0,020028586;0,036973567;1
67;0,944869649;0,019242708;0,035887643;1
68;0,94668163;0,018487753;0,034830617;1
69;0,948435648;0,017762495;0,033801857;1
70;0,950133506;0,017065757;0,032800737;1
71;0,951776951;0,016396411;0,031826637;1
72;0,953367677;0,015753373;0,030878949;1
73;0,954907326;0,015135604;0,02995707;1
74;0,95639749;0,014542104;0,029060406;1
75;0,957839712;0,013971916;0,028188372;1
76;0,95923549;0,013424119;0,027340392;1
77;0,960586273;0,01289783;0,026515897;1
78;0,96189347;0,012392201;0,025714329;1
79;0,963158444;0,011906418;0,024935137;1
80;0,964382518;0,0114397;0,024177782;1
81;0,965566974;0,010991294;0,023441732;1
82;0,966713055;0,010560481;0,022726464;1
83;0,967821967;0,010146569;0,022031464;1
84;0,968894878;0,009748891;0,02135623;1
85;0,969932923;0,009366811;0,020700266;1
86;0,970937198;0,008999715;0,020063087;1
87;0,97190877;0,008647013;0,019444217;1
88;0,972848671;0,008308141;0,018843188;1
89;0,973757902;0,007982554;0,018259543;1
90;0,974637434;0,007669732;0,017692833;1
91;0,975488208;0,007369173;0,017142619;1
92;0,976311135;0,007080396;0,016608469;1
93;0,977107101;0,006802937;0,016089962;1
94;0,977876961;0,006536353;0,015586686;1
95;0,978621546;0,006280218;0,015098236;1
96;0,979341663;0,006034121;0,014624216;1
97;0,980038091;0,005797668;0,014164241;1
98;0,980711586;0,005570482;0,013717932;1
99;0,981362883;0,005352198;0,013284919;1
100;0,981992691;0,005142468;0,012864841;1
101;0,982601699;0,004940956;0,012457345;1
102;0,983190574;0,004747341;0,012062085;1
103;0,983759964;0,004561312;0,011678725;1
104;0,984310493;0,004382572;0,011306935;1
105;0,984842771;0,004210835;0,010946394;1
106;0,985357384;0,004045828;0,010596788;1
107;0,985854904;0,003887286;0,010257811;1
108;0,986335881;0,003734955;0,009929163;1
109;0,986800852;0,003588593;0,009610555;1
110;0,987250334;0,003447966;0,0093017;1
111;0,98768483;0,003312849;0,009002322;1
112;0,988104825;0,003183025;0,00871215;1
113;0,988510792;0,003058288;0,00843092;1
114;0,988903185;0,002938439;0,008158376;1
115;0,989282449;0,002823285;0,007894267;1
116;0,989649009;0,002712643;0,007638348;1
117;0,990003281;0,002606336;0,007390383;1
118;0,990345667;0,002504194;0,007150139;1
119;0,990676555;0,002406054;0,006917391;1
120;0,990996321;0,00231176;0,006691919;1
